budget,genres,release_date,revenue,runtime,status,title,vote_average,vote_count,profitability,prof
258000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2007,890871626,139,Released,Spider-Man 3,5.9,3576,345.30%,345.2990798
21000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2011,72417394,99,Released,Diary of a Wimpy Kid: Rodrick Rules,6.3,238,344.84%,344.8447333
25000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}]",2013,86175291,130,Released,Pain & Gain,6.1,1573,344.70%,344.701164
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2008,258270008,110,Released,Wanted,6.4,2528,344.36%,344.3600107
13000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",1988,44726644,107,Released,Young Guns,6.6,258,344.05%,344.0511077
2380000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",2006,8176544,101,Released,This Is England,7.4,363,343.55%,343.5522689
28000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",2010,96188903,117,Released,Kick-Ass,7.1,4645,343.53%,343.5317964
12000000,"[{""id"": 35, ""name"": ""Comedy""}]",1996,41205099,92,Released,Happy Gilmore,6.5,755,343.38%,343.375825
30,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2000,103,78,Released,Rugrats in Paris: The Movie,6,100,343.33%,343.3333333
80000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",2010,274470394,103,Released,The Expendables,6,2926,343.09%,343.0879925
35000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",2002,120072577,150,Released,The Pianist,8,1864,343.06%,343.0645057
60000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2016,205754447,99,Released,London Has Fallen,5.8,1621,342.92%,342.9240783
70000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1990,240031094,124,Released,Die Hard 2,6.6,1896,342.90%,342.9015629
3500000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",1966,12000000,121,Released,Harper,6.2,35,342.86%,342.8571429
30000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2010,102820008,112,Released,Love & Other Drugs,6.6,1233,342.73%,342.73336
50000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2002,171269535,96,Released,Mr. Deeds,5.6,644,342.54%,342.53907
8000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2002,27362712,109,Released,Brown Sugar,7,31,342.03%,342.0339
52500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",2001,179213434,127,Released,Moulin Rouge!,7.4,1300,341.36%,341.3589219
60000000,"[{""id"": 18, ""name"": ""Drama""}]",2010,204594016,133,Released,Eat Pray Love,5.8,636,340.99%,340.9900267
55000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2011,187361754,94,Released,Mr. Popper's Penguins,5.7,751,340.66%,340.6577345
12000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2008,40855419,89,Released,Quarantine,5.5,339,340.46%,340.461825
15000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2005,51053787,80,Released,Hoodwinked!,5.9,479,340.36%,340.35858
50000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",2004,170128460,107,Released,Shall We Dance?,5.9,297,340.26%,340.25692
21000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2001,71441250,110,Released,The Royal Tenenbaums,7.4,1286,340.20%,340.1964286
40000000,"[{""id"": 28, ""name"": ""Action""}]",2010,136000000,110,Released,The Bounty Hunter,5.5,858,340.00%,340
6000000,"[{""id"": 37, ""name"": ""Western""}]",1946,20400000,144,Released,Duel in the Sun,6.2,37,340.00%,340
8000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}]",1984,27187653,163,Released,A Passage to India,6.9,67,339.85%,339.8456625
85000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2014,288747895,139,Released,Divergent,6.9,4663,339.70%,339.7034059
80000000,"[{""id"": 35, ""name"": ""Comedy""}]",2010,271430189,102,Released,Grown Ups,6,1705,339.29%,339.2877363
29000000,"[{""id"": 28, ""name"": ""Action""}]",2003,98185582,102,Released,Once Upon a Time in Mexico,6.2,594,338.57%,338.5709724
90000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",1998,304320254,88,Released,Mulan,7.6,2008,338.13%,338.1336156
1600000,"[{""id"": 37, ""name"": ""Western""}]",1949,5400000,103,Released,She Wore a Yellow Ribbon,7.1,61,337.50%,337.5
16000000,"[{""id"": 18, ""name"": ""Drama""}]",1982,53977250,129,Released,The Verdict,7.4,131,337.36%,337.3578125
10000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",1983,33697647,91,Released,The Outsiders,6.9,291,336.98%,336.97647
31000000,"[{""id"": 35, ""name"": ""Comedy""}]",2015,104384188,99,Released,Vacation,6.2,1195,336.72%,336.7231871
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}]",1995,336529144,121,Released,Batman Forever,5.2,1498,336.53%,336.529144
20000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",1998,67200000,108,Released,Wild Things,6.3,444,336.00%,336
20000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",2005,67192859,89,Released,Boogeyman,4.6,191,335.96%,335.964295
47000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",2011,157887643,92,Released,Final Destination 5,5.9,866,335.93%,335.9311553
17000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2006,57103895,109,Released,Smokin' Aces,6.4,534,335.91%,335.9052647
10000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2010,33583175,80,Released,Devil,5.8,816,335.83%,335.83175
4000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2006,13401952,109,Released,The History Boys,6.6,66,335.05%,335.0488
65000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2004,217764291,120,Released,Collateral,7,1451,335.02%,335.0219862
30000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",1998,100491683,79,Released,The Rugrats Movie,5.7,147,334.97%,334.9722767
105000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2013,351040419,143,Released,The Great Gatsby,7.3,3769,334.32%,334.3242086
35000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2011,117000000,98,Released,Horrible Bosses,6.5,2277,334.29%,334.2857143
16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",1999,53478166,97,Released,10 Things I Hate About You,7.3,1701,334.24%,334.2385375
35000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2013,116980662,97,Released,Warm Bodies,6.4,2652,334.23%,334.2304629
20000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",2014,66787908,127,Released,Selma,7.4,817,333.94%,333.93954
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2003,266728738,128,Released,Something's Gotta Give,6.3,410,333.41%,333.4109225
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",1978,50000000,183,Released,The Deer Hunter,7.8,921,333.33%,333.3333333
3000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",1961,10000000,186,Released,Judgment at Nuremberg,7.6,155,333.33%,333.3333333
23000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2003,76488889,91,Released,Bad Santa,6.5,656,332.56%,332.560387
40000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2012,132820716,157,Released,Zero Dark Thirty,6.7,1702,332.05%,332.05179
92000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2013,304654182,98,Released,A Good Day to Die Hard,5.2,3493,331.15%,331.14585
105000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}]",2013,347434178,105,Released,The Smurfs 2,5.5,695,330.89%,330.8896933
75000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",2000,248118121,106,Released,Unbreakable,6.9,1946,330.82%,330.8241613
28000000,"[{""id"": 35, ""name"": ""Comedy""}]",2007,92601050,104,Released,No Reservations,6.1,327,330.72%,330.7180357
12000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",1997,39673162,154,Released,Jackie Brown,7.3,1514,330.61%,330.6096833
10000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2007,33000000,100,Released,"Run, Fatboy, Run",6.2,238,330.00%,330
28000000,"[{""id"": 35, ""name"": ""Comedy""}]",2008,92380927,99,Released,Role Models,6.4,564,329.93%,329.9318821
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2005,82466670,129,Released,The Constant Gardener,6.8,417,329.87%,329.86668
5600000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",2009,18469680,85,Released,[REC]²,6.4,489,329.82%,329.8157143
45000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2007,148412065,94,Released,Resident Evil: Extinction,6.1,1292,329.80%,329.8045889
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2006,49469904,92,Released,Notes on a Scandal,6.9,235,329.80%,329.79936
110000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2004,362744280,125,Released,Ocean's Twelve,6.4,2124,329.77%,329.7675273
115000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1994,378882411,141,Released,True Lies,6.8,1116,329.46%,329.4629661
3000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2005,9879971,94,Released,Tsotsi,6.9,94,329.33%,329.3323667
84000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",2002,275650703,88,Released,Scooby-Doo,5.4,820,328.16%,328.1555988
20000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2008,65569869,109,Released,Street Kings,6.3,363,327.85%,327.849345
20000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2010,65464324,104,Released,The American,5.8,481,327.32%,327.32162
17000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2003,55534455,94,Released,The Lizzie McGuire Movie,5.7,280,326.67%,326.6732647
140000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}]",2003,456758981,154,Released,The Last Samurai,7.3,1895,326.26%,326.256415
46000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",1996,150000000,111,Released,Star Trek: First Contact,7,661,326.09%,326.0869565
6000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2011,19560274,96,Released,The Guard,6.8,372,326.00%,326.0045667
65000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2010,211780824,95,Released,Due Date,6.2,1685,325.82%,325.8166523
8000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2014,26049082,94,Released,That Awkward Moment,6.1,1004,325.61%,325.613525
4000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",1988,13008928,94,Released,They Live,7.1,550,325.22%,325.2232
20000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2008,64822796,112,Released,The Bank Job,6.6,697,324.11%,324.11398
35000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}]",1995,113374103,108,Released,Species,5.5,453,323.93%,323.9260086
40000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2009,129540499,123,Released,Julie & Julia,6.6,560,323.85%,323.8512475
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2001,80936232,83,Released,Jimmy Neutron: Boy Genius,5.6,231,323.74%,323.744928
5000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2008,16174377,102,Released,Sunshine Cleaning,6.5,255,323.49%,323.48754
28000000,"[{""id"": 35, ""name"": ""Comedy""}]",2000,90449929,98,Released,Bring It On,5.8,568,323.04%,323.0354607
50000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2005,161451538,110,Released,The Ring Two,5.4,632,322.90%,322.903076
70000000,"[{""id"": 35, ""name"": ""Comedy""}]",2008,225990978,104,Released,Yes Man,6.4,1813,322.84%,322.8442543
90000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2006,289847354,151,Released,The Departed,7.9,4339,322.05%,322.0526156
40000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",1999,128798265,139,Released,The Talented Mr. Ripley,7,767,322.00%,321.9956625
66000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",1999,212404396,112,Released,Entrapment,6,602,321.82%,321.8248424
35000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2013,112544580,125,Released,Saving Mr. Banks,7.3,1226,321.56%,321.5559429
50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",2014,160602194,89,Released,Into the Storm,5.8,817,321.20%,321.204388
10000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",1992,32101000,108,Released,The Lawnmower Man,5.4,197,321.01%,321.01
140000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",2001,449220945,183,Released,Pearl Harbor,6.6,1791,320.87%,320.8721036
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2007,961000000,169,Released,Pirates of the Caribbean: At World's End,6.9,4500,320.33%,320.3333333
12000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2006,38368909,103,Released,Employee of the Month,5.3,153,319.74%,319.7409083
50000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}]",1992,159773545,114,Released,Alien³,6.2,1633,319.55%,319.54709
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",1986,79817939,94,Released,The Golden Child,5.6,304,319.27%,319.271756
68000000,"[{""id"": 35, ""name"": ""Comedy""}]",2015,217022588,115,Released,Ted 2,6.2,2463,319.15%,319.1508647
30000000,"[{""id"": 18, ""name"": ""Drama""}]",2009,95714875,109,Released,My Sister's Keeper,7.1,598,319.05%,319.0495833
78000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",2013,248384621,95,Released,Cloudy with a Chance of Meatballs 2,6.4,915,318.44%,318.4418218
80000000,"[{""id"": 35, ""name"": ""Comedy""}]",2011,254455986,102,Released,The Hangover Part II,6.2,3739,318.07%,318.0699825
18000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",2007,57096190,126,Released,The Mist,6.7,1399,317.20%,317.2010556
11000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 35, ""name"": ""Comedy""}]",1991,34872033,89,Released,Freddy's Dead: The Final Nightmare,5.1,272,317.02%,317.0184818
27000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}]",2011,85564310,89,Released,Spy Kids: All the Time in the World,4.4,222,316.90%,316.9048519
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2005,474968763,115,Released,Charlie and the Chocolate Factory,6.7,3624,316.65%,316.645842
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2014,126546825,89,Released,Lucy,6.3,5878,316.37%,316.3670625
38000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",1994,120000000,118,Released,Star Trek: Generations,6.4,452,315.79%,315.7894737
33000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2000,104155843,107,Released,The Cell,6,436,315.62%,315.6237667
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2010,126248813,107,Released,Predators,6,1206,315.62%,315.6220325
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2002,441818803,88,Released,Men in Black II,6,3114,315.58%,315.5848593
9250000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",1979,29174648,125,Released,The Rose,6.8,28,315.40%,315.4016
40000000,"[{""id"": 35, ""name"": ""Comedy""}]",2014,126069509,97,Released,Sex Tape,5.3,1695,315.17%,315.1737725
38000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",2002,119723358,100,Released,Spy Kids 2: The Island of Lost Dreams,5.3,521,315.06%,315.0614684
15000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2005,47175038,88,Released,The Wedding Date,6.2,230,314.50%,314.5002533
45000000,"[{""id"": 35, ""name"": ""Comedy""}]",2001,141220678,83,Released,Scary Movie 2,5.4,982,313.82%,313.8237289
73000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1997,229074524,129,Released,The Lost World: Jurassic Park,6.2,2487,313.80%,313.8007178
80000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1996,250200000,88,Released,Space Jam,6.5,1288,312.75%,312.75
12800000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10402, ""name"": ""Music""}]",2000,40031879,140,Released,Dancer in the Dark,7.6,377,312.75%,312.7490547
15000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1998,46905889,111,Released,The Object of My Affection,5.6,72,312.71%,312.7059267
30000000,"[{""id"": 35, ""name"": ""Comedy""}]",2005,93772522,102,Released,Racing Stripes,5.1,123,312.58%,312.5750733
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2012,312573423,103,Released,The Expendables 2,6.1,2896,312.57%,312.573423
16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2008,50007546,114,Released,The Women,4.6,96,312.55%,312.5471625
6000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",2003,18750246,91,Released,A Mighty Wind,6.6,74,312.50%,312.5041
70000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",1998,218613188,99,Released,The Prince of Egypt,6.8,817,312.30%,312.3045543
33000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2002,102984862,100,Released,Resident Evil,6.4,2065,312.08%,312.0753394
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",2016,124827316,102,Released,Ride Along 2,6.1,555,312.07%,312.06829
25000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1991,78000000,88,Released,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,286,312.00%,312
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2010,623933331,124,Released,Iron Man 2,6.6,6849,311.97%,311.9666655
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",2004,124731534,152,Released,Ray,7.2,467,311.83%,311.828835
15000000,"[{""id"": 27, ""name"": ""Horror""}]",2005,46770602,93,Released,Land of the Dead,6,381,311.80%,311.8040133
68000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2014,211817906,135,Released,Fury,7.4,3946,311.50%,311.4969206
60000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1998,186883563,170,Released,The Horse Whisperer,6.7,292,311.47%,311.472605
76000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2003,236350661,107,Released,2 Fast 2 Furious,6.2,2028,310.99%,310.9877118
50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2009,155446362,121,Released,Knowing,5.9,1486,310.89%,310.892724
35000000,"[{""id"": 35, ""name"": ""Comedy""}]",2016,108758521,91,Released,Neighbors 2: Sorority Rising,5.6,1462,310.74%,310.7386314
100000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2010,310650585,98,Released,Little Fockers,5.4,1060,310.65%,310.650585
22000000,"[{""id"": 37, ""name"": ""Western""}]",2003,68296293,139,Released,Open Range,7,262,310.44%,310.4376955
130000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}]",2012,403170142,124,Released,Prometheus,6.3,5080,310.13%,310.1308785
